20

SELECCION RULETA SIN ELITISMO

Ciclo  58  Cromosoma:  111111110011111111111110101111

Ciclo  59  Cromosoma:  111111110011111111111110101111

Ciclo  60  Cromosoma:  111111110011111111111110101111

Ciclo  61  Cromosoma:  111111110011111111111110101111

Ciclo  62  Cromosoma:  111111110011111111111110101111

Ciclo  63  Cromosoma:  111111110011111111111110101111

Ciclo  64  Cromosoma:  111111110011111111111110101111

Ciclo  65  Cromosoma:  111111110011111111111110101111

Ciclo  66  Cromosoma:  111111110011111111111110101111

Ciclo  67  Cromosoma:  111111110011111111111110101111

Ciclo  68  Cromosoma:  111111110011111111111111001111

Ciclo  69  Cromosoma:  111111110011111111111111001111

Ciclo  70  Cromosoma:  111111110011111111111111001111

Ciclo  71  Cromosoma:  111111110011111111111111001111

Ciclo  72  Cromosoma:  111111110011111111111111001111

Ciclo  73  Cromosoma:  111111110011111111111111001111

Ciclo  74  Cromosoma:  111111110011111111111111001111

Ciclo  75  Cromosoma:  111111110111111111111111001111

Ciclo  76  Cromosoma:  111111110111111111111111001111

Ciclo  77  Cromosoma:  111111110111111111111111001111

Ciclo  78  Cromosoma:  111111110111111111111111001111

Ciclo  79  Cromosoma:  111111110111111111111111001111

Ciclo  80  Cromosoma:  111111110111111111111111001111

Ciclo  81  Cromosoma:  111111111011111111111111001111

Ciclo  82  Cromosoma:  111111111011111111111011001111

Ciclo  83  Cromosoma:  111111111011111111111111001111

Ciclo  84  Cromosoma:  111111111011111111111111001111

Ciclo  85  Cromosoma:  111111111011111111111111001111

Ciclo  86  Cromosoma:  111111111011111111111111001111

Ciclo  87  Cromosoma:  111111111011111111111111001111

Ciclo  88  Cromosoma:  111111111011111111111111001111

Ciclo  89  Cromosoma:  111111111011111111111111001111

Ciclo  90  Cromosoma:  111111111011111111111111001111

Ciclo  91  Cromosoma:  111111111011111111111111001111

Ciclo  92  Cromosoma:  111111111011111111111111001111

Ciclo  93  Cromosoma:  111111111011111111111111001111

Ciclo  94  Cromosoma:  111111111011111111111111001111

Ciclo  95  Cromosoma:  111111111011111111111111001111

Ciclo  96  Cromosoma:  111111111011111111111111001111

Ciclo  97  Cromosoma:  111111111011111111111111001111

Ciclo  98  Cromosoma:  111111111011111111111111001111

Ciclo  99  Cromosoma:  111111111011111111111111001111

Ciclo  100  Cromosoma:  111111111011111111111111001111
SELECCION TORNEO SIN ELITISMO

Ciclo  1  Cromosoma:  111111010011111101111010101111

Ciclo  2  Cromosoma:  111111010011111101111110101010

Ciclo  3  Cromosoma:  111111010011111101111110101010

Ciclo  4  Cromosoma:  111111010011111101111110101010

Ciclo  5  Cromosoma:  111111110011111101111110101010

Ciclo  6  Cromosoma:  111111110011111101111110101010

Ciclo  7  Cromosoma:  111111110011111101111110101010

Ciclo  8  Cromosoma:  111111110011111101111110101010

Ciclo  9  Cromosoma:  111111110011111101111110101010

Ciclo  10  Cromosoma:  111111110011111101111110101010

Ciclo  11  Cromosoma:  111111110011111101111110101010

Ciclo  12  Cromosoma:  111111110011111101111110101010

Ciclo  13  Cromosoma:  111111110011111101111110101010

Ciclo  14  Cromosoma:  111111110011111101111110101010

Ciclo  15  Cromosoma:  111111110011111101111110101010

Ciclo  16  Cromosoma:  111111110011111101111110101010

Ciclo  17  Cromosoma:  111111110011111101111110101010

Ciclo  18  Cromosoma:  111111110011111101111110101010

Ciclo  19  Cromosoma:  111111110011111101111110101010

Ciclo  20  Cromosoma:  111111110011111101111110101010

Ciclo  21  Cromosoma:  111111110011111101111110101010

Ciclo  22  Cromosoma:  111111110011111101111110101010

Ciclo  23  Cromosoma:  111111110011111101111110101010

Ciclo  24  Cromosoma:  111111110011111101111110101010

Ciclo  25  Cromosoma:  111111110011111101111110101010

Ciclo  26  Cromosoma:  111111110011111101111110101010

Ciclo  27  Cromosoma:  111111110011111101111110101010

